Unnamed: 0,username,comicID,rating
12036,Maki-Meka,401,5.0
52086,NekitaHiwatari,24457,5.0
7979,_Iris_,44,5.0
27328,Ryuchi_san,3116,4.0
7299,Demonarion,38,3.0
69634,gabrielrcamp,81117,1.0
1344,Lali08,8,3.0
39993,LegacyHeart,11054,5.0
41813,MugennoMajo,12554,5.0
48106,hinagatari,18792,4.0
47859,AkiyamaChiaki,18597,5.0
9282,Mono-no-aware,83,4.0
25598,Faiir,2921,4.0
4784,Nordsjel,21,5.0
8810,Jaya_0,57,5.0
60131,Tai-,37707,4.0
73307,plasticgenius,99377,4.0
64529,tarugiio,54817,4.0
57851,andapandas,33251,5.0
65946,Aplozia,60783,4.0
903,aimansyafiq14,3,5.0
5524,jimanator,22,4.0
63402,KidaShikage,48347,4.0
60493,Pito9,39325,2.0
69657,Clarian,81117,5.0
68168,Oo-RAKAN-oO,70345,4.0
38817,djwhack03,9711,4.0
23026,Haptism93,1517,4.0
13847,kakeru23,591,5.0
57134,KissMyAnthia,31499,5.0
48772,ys19931006,20593,3.0
3395,ChattyIntrovert,13,5.0
30248,isalvy,3831,3.0
64468,MHFO,50217,2.0
59564,Apey_,36267,4.0
1990,StormKing786,11,4.0
21762,Liryo,1349,4.0
48,Castilho,1,5.0
1908,Soiku,11,5.0
13881,Noi-chi,591,5.0
27427,Fenneko,3194,5.0
16951,petran79,658,4.0
39455,Linnuy,10363,4.0
15030,BakaAkisa,610,5.0
71775,Arthuro-Ray,91941,4.0
52183,Sthich_Rounathan,24561,3.0
51879,Reaper2570,24294,4.0
18529,__SoRaTaRd__,801,5.0
4012,andapandas,15,4.0
6592,TalkingHead00,29,4.0
74301,Xahkarias,103851,4.0
6582,cocoapuffs,29,4.0
70608,Ozymandyas,86337,3.0
36496,Arwenia,7627,5.0
66239,Vensito,62887,3.0
16580,Pomugrenade,651,5.0
47822,fr3akzila,18597,5.0
73658,maiduong28,100128,4.0
17923,Ughgetatan,745,4.0
44751,jimanator,14440,4.0
1076,SonMati,7,3.0
38882,Senna-chan,9711,5.0
27487,TwinSoul,3194,4.0
48785,Ruisumaru,20593,4.0
11596,KumoKumo-88,338,5.0
59926,PinkTaco,37641,5.0
71120,Amneja_Vu,89087,3.0
41492,chinesecartoonz,12309,3.0
41175,Devilflower,11896,5.0
65537,Nagatotoro,56857,5.0
74353,StrawhatAJ,103851,4.0
21696,Arwenia,1349,5.0
65859,JackOboX,57765,5.0
61081,Smapo,42451,4.0
72524,GodspeedK,96792,3.0
43725,Prismatica,13702,4.0
23558,SlinkyDreams,1649,4.0
324,rvmg,2,5.0
71655,MurukoHiiragi,91514,3.0
3271,smiley0318,13,5.0
23639,CorrePraFuji,1649,4.0
12505,Hikikomori-san,436,5.0
2373,joese,11,3.0
1659,Kikitten,10,5.0
1967,gabrielrcamp,11,4.0
68739,HPlaserprinter,75989,5.0
68420,1xa5,72007,3.0
19004,Ragnao,933,4.0
19111,hoppenscooter,933,5.0
38193,xHelloBeautiful,8967,3.0
41987,xxesxx,12586,4.0
7270,MahouShoujoLain,38,4.0
52832,clannad3,24822,5.0
35464,Silvybeary,6520,4.0
48463,Xuanfung,20242,5.0
